substance_nmbr,name,casrn,iris_url
109,Tetraethyl lead,78-00-2,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=109
110,Thallium oxide,1314-32-5,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=110
111,Thallium acetate,563-68-8,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=111
112,Thallium carbonate,6533-73-9,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=112
113,Thallium chloride,7791-12-0,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=113
114,Thallium nitrate,10102-45-1,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=114
115,Thallium selenite,12039-52-0,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=115
116,Thallium(I) sulfate,7446-18-6,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=116
117,Thiophanate-methyl,23564-05-8,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=117
118,Toluene,108-88-3,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=118
119,"1,2,4-Trichlorobenzene",120-82-1,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=119
120,Trichlorofluoromethane,75-69-4,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=120
121,"2,4,5-Trichlorophenol",95-95-4,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=121
122,"2,4,6-Trichlorophenol",88-06-2,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=122
123,"1,1,2-Trichloro-1,2,2-trifluoroethane (CFC-113)",76-13-1,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=123
124,Tridiphane,58138-08-2,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=124
125,Vanadium pentoxide,1314-62-1,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=125
126,Vinclozolin,50471-44-8,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=126
127,Zinc cyanide,557-21-1,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=127
128,Acetone,67-64-1,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=128
129,Alachlor,15972-60-8,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=129
130,Aldrin,309-00-2,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=130
131,Bayleton,43121-43-3,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=131
132,Baythroid,68359-37-5,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=132
133,Benefin,1861-40-1,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=133
134,Bentazon (Basagran),25057-89-0,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=134
135,Benzidine,92-87-5,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=135
136,Benzo[a]pyrene (BaP),50-32-8,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=136
137,Bis(chloroethyl)ether (BCEE),111-44-4,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=137
138,Bromoxynil octanoate,1689-99-2,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=138
139,"1,3-Butadiene",106-99-0,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=139
140,n-Butanol,71-36-3,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=140
141,Cadmium,7440-43-9,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=141
142,Chlordane (Technical),12789-03-6,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=142
143,Chlorothalonil,1897-45-6,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=143
144,Chromium(VI),18540-29-9,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=144
145,Cyanazine,21725-46-2,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=145
146,"Dalapon, sodium salt",75-99-0,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=146
147,"p,p'-Dichlorodiphenyltrichloroethane (DDT)",50-29-3,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=147
148,"1,4-Dibromobenzene",106-37-6,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=148
149,"1,2-Dichloroethane",107-06-2,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=149
150,"2,4-Dichlorophenoxyacetic acid (2,4-D)",94-75-7,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=150
151,Dichlorvos,62-73-7,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=151
152,"2,4-Dinitrophenol",51-28-5,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=152
153,Diquat,2764-72-9,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=153
154,Disulfoton,298-04-4,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=154
155,Endothall,145-73-3,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=155
156,Ethion,563-12-2,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=156
157,Ethyl acetate,141-78-6,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=157
158,Fonofos,944-22-9,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=158
159,Fosetyl-al,39148-24-8,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=159
160,Heptachlor epoxide,1024-57-3,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=160
161,Hexabromobenzene,87-82-1,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=161
162,alpha-Hexachlorocyclohexane (alpha-HCH),319-84-6,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=162
163,delta-Hexachlorocyclohexane (delta-HCH),319-86-8,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=163
164,epsilon-Hexachlorocyclohexane (epsilon-HC),6108-10-7,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=164
165,technical Hexachlorocyclohexane (t-HCH),608-73-1,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=165
166,"Hexachlorodibenzo-p-dioxin (HxCDD), mixture of 1,2,3,6,7,8-HxCDD and 1,2,3,7,8,9-HxCDD",57653-85-7,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=166
167,Hexachloroethane,67-72-1,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=167
168,Imazalil,35554-44-0,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=168
169,Isobutyl alcohol,78-83-1,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=169
170,Linuron,330-55-2,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=170
171,Londax,83055-99-6,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=171
172,Maleic hydrazide,123-33-1,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=172
173,Methyl isobutyl ketone (MIBK),108-10-1,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=173
174,Methyl parathion,298-00-0,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=174
175,Naled,300-76-5,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=175
176,Nitrapyrin,1929-82-4,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=176
177,N-Nitrosodi-N-propylamine,621-64-7,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=177
178,N-Nitrosodiphenylamine,86-30-6,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=178
179,N-Nitroso-N-methylethylamine,10595-95-6,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=179
180,Octabromodiphenyl ether,32536-52-0,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=180
181,Oxamyl,23135-22-0,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=181
182,Paclobutrazol,76738-62-0,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=182
183,Paraquat,1910-42-5,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=183
184,Pentabromodiphenyl ether,32534-81-9,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=184
185,Permethrin,52645-53-1,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=185
186,Propanil,709-98-8,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=186
187,Propazine,139-40-2,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=187
188,Pydrin,51630-58-1,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=188
189,Quinalphos,13593-03-8,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=189
190,Sethoxydim,74051-80-2,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=190
191,Sodium azide,26628-22-8,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=191
192,"Acifluorfen, sodium",62476-59-9,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=192
193,"1,1,2,2-Tetrachloroethane",79-34-5,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=193
194,Tetrachlorovinphos,961-11-5,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=194
195,Triallate,2303-17-5,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=195
196,"1,2,4-Tribromobenzene",615-54-3,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=196
197,"1,1,1-Trichloroethane",71-55-6,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=197
198,"1,1,2-Trichloroethane",79-00-5,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=198
199,Trichloroethylene,79-01-6,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=199
200,"1,2,3-Trichloropropane",96-18-4,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=200
201,Vernam,1929-77-7,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=201
202,Warfarin,81-81-2,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=202
203,Zinc phosphide,1314-84-7,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=203
204,Zineb,12122-67-7,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=204
205,Acetonitrile,75-05-8,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=205
206,Acrylonitrile,107-13-1,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=206
207,Amdro,67485-29-4,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=207
208,Ametryn,834-12-8,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=208
209,Atrazine,1912-24-9,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=209
210,Baygon,114-26-1,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=210
211,Bidrin,141-66-2,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=211
213,Bromodichloromethane,75-27-4,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=213
214,Bromoform,75-25-2,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=214
215,Butylate,2008-41-5,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=215
216,Captafol,2425-06-1,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=216
217,Carbon disulfide,75-15-0,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=217
218,Carbofuran,1563-66-2,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=218
219,Cyclohexanone,108-94-1,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=219
220,Cyromazine,66215-27-8,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=220
221,Dacthal,1861-32-1,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=221
222,Dibromochloromethane,124-48-1,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=222
223,Dicamba,1918-00-9,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=223
224,"1,3-Dichloropropene",542-75-6,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=224
225,Dieldrin,60-57-1,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=225
226,Diethyl phthalate (DEP),84-66-2,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=226
227,Diflubenzuron,35367-38-5,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=227
228,Dimethylamine,124-40-3,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=228
229,N-N-Dimethylaniline,121-69-7,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=229
230,"2,6-Dimethylphenol",576-26-1,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=230
231,"3,4-Dimethylphenol",95-65-8,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=231
232,Diphenamid,957-51-7,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=232
233,Diuron,330-54-1,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=233
234,Dodine,2439-10-3,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=234
235,Endosulfan,115-29-7,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=235
236,Ethyl p-nitrophenyl phenylphosphorothioate (EPN),2104-64-5,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=236
237,S-Ethyl dipropylthiocarbamate (EPTC),759-94-4,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=237
238,Ethylene glycol,107-21-1,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=238
239,Ethylene thiourea (ETU),96-45-7,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=239
240,Fenamiphos,22224-92-6,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=240
241,Fluometuron,2164-17-2,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=241
242,Folpet,133-07-3,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=242
243,Heptachlor,76-44-8,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=243
244,beta-Hexachlorocyclohexane (beta-HCH),319-85-7,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=244
245,Chloromethyl methyl ether (CMME),107-30-2,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=245
246,Hexazinone,51235-04-2,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=246
247,Glufosinate-ammonium,77182-82-2,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=247
248,Malathion,121-75-5,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=248
249,Maneb,12427-38-2,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=249
250,Methamidophos,10265-92-6,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=250
251,Mirex,2385-85-5,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=251
252,N-Nitrosodiethanolamine,1116-54-7,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=252
253,Oxadiazon,19666-30-9,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=253
254,Pentachloronitrobenzene (PCNB),82-68-8,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=254
255,Phosalone,2310-17-0,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=255
256,Picloram,1918-02-1,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=256
257,Pirimiphos-methyl,29232-93-7,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=257
258,Prometryn,7287-19-6,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=258
260,Propham,122-42-9,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=260
261,Pyridine,110-86-1,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=261
262,"2,4,5-Trichlorophenoxyacetic acid (2,4,5-T)",93-76-5,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=262
263,Simazine,122-34-9,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=263
264,Tebuthiuron,34014-18-1,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=264
265,"1,1,1,2-Tetrachloroethane",630-20-6,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=265
266,Thiobencarb,28249-77-6,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=266
267,Thiram,137-26-8,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=267
268,Trifluralin,1582-09-8,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=268
269,"2,4,6-Trinitrotoluene (TNT)",118-96-7,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=269
270,Xylenes,1330-20-7,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=270
271,"Nickel, soluble salts",Various,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=271
272,Nickel refinery dust,None,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=272
273,Nickel subsulfide,12035-72-2,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=273
274,Nickel carbonyl,13463-39-3,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=274
275,Radon 222,14859-67-7,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=275
276,Benzene,71-43-2,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=276
277,Lead and compounds (inorganic),7439-92-1,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=277
278,"Arsenic, Inorganic",7440-38-2,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=278
279,Cyhalothrin/Karate,68085-85-8,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=279
280,Lactofen,77501-63-4,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=280
281,Fluvalinate,69409-94-5,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=281
282,Propiconazole,60207-90-1,https://iris.epa.gov/ChemicalLanding/&substance_nmbr=282
